x,y
12.1,65.0
12.2,64.9
12.4,64.8
11.6,64.7
11.7,64.6
10.4,64.3
10.0,64.1
16.0,74.4
15.4,74.1
15.5,73.8
15.8,73.6
16.0,72.8
16.4,72.6
16.3,71.9
16.2,78.0
16.2,75.0
15.9,76.0
15.5,71.0
15.2,78.0
14.8,73.0
14.2,69.9
13.7,71.0
13.3,74.8
13.3,74.9
13.3,75.0
13.2,75.0
13.3,74.9
13.2,74.7
13.1,74.5
12.9,74.4
13.2,74.1
13.7,73.9
14.2,73.7
14.8,73.5
15.2,73.2
15.0,73.0
14.9,72.7
10.8,52.1
11.1,52.1
11.0,52.2
11.0,52.3
10.9,51.1
10.8,49.4
10.7,47.8
10.6,46.2
10.7,45.3
10.7,44.5
10.7,44.8
10.5,45.5
9.9,58.1
9.8,61.1
9.6,67.0
9.5,62.0
9.6,59.7
9.7,59.2
9.8,58.6
16.5,73.4
16.4,73.0
16.5,73.0
16.7,72.8
16.8,72.4
16.6,72.2
16.5,71.1
16.4,72.0
16.4,76.0
16.2,78.0
16.3,71.6
15.8,71.6
15.3,71.4
14.7,71.2
14.0,71.6
13.9,81.7
13.9,81.4
13.9,81.1
13.9,88.0
13.7,86.0
13.5,83.0
13.5,80.0
13.5,79.7
13.5,79.4
13.5,78.8
13.5,78.7
13.6,78.6
13.5,78.3
13.4,78.0
13.5,77.8
10.3,65.1
10.3,64.7
10.2,64.3
10.2,63.8
10.2,63.3
9.7,62.8
9.4,62.3
9.1,61.9
9.0,61.4
8.9,69.0
8.7,64.0
8.5,59.9
8.3,59.3
10.7,57.6
10.7,56.7
10.7,55.3
10.6,54.1
10.2,52.9
9.9,51.5
9.6,50.0
9.7,48.5
9.6,47.1
9.7,46.0
10.0,45.1
10.3,44.6
10.4,44.0
13.0,74.8
12.9,74.6
12.9,74.5
13.0,74.3
12.8,74.1
12.6,74.0
12.5,73.8
12.3,73.7
12.7,73.6
12.9,73.4
12.7,73.2
12.1,73.1
12.0,72.9
11.9,72.7
11.6,72.4
12.7,78.2
12.4,77.9
12.1,77.6
11.8,77.3
11.6,76.7
11.8,76.3
11.8,75.9
11.9,75.4
12.0,75.0
12.1,74.3
12.2,73.4
11.8,72.7
12.0,71.8
11.8,78.0
11.3,69.6
8.2,57.8
8.0,57.3
7.7,57.2
7.5,56.8
7.3,56.5
7.1,56.0
5.8,55.5
6.4,55.0
6.1,54.3
5.8,53.6
5.5,52.8
5.2,52.0
14.3,81.4
14.2,81.1
14.1,81.0
14.8,87.0
14.6,83.0
14.4,82.0
14.6,80.0
14.4,79.6
14.8,79.3
14.8,79.0
14.2,78.7
13.8,78.5
8.5,63.0
8.2,62.7
7.8,62.5
7.7,62.2
7.6,62.0
7.1,61.7
7.2,61.4
7.4,61.2
7.2,69.0
7.2,66.0
14.7,74.2
14.7,74.1
14.3,73.9
14.1,73.6
14.0,73.3
13.8,72.8
13.6,72.7
13.5,72.9
13.4,71.8
13.0,72.1
12.8,71.9
12.6,71.5
12.5,71.5
12.2,71.5
12.1,71.0
13.1,76.6
12.9,76.6
12.7,76.3
12.6,76.1
12.5,75.6
12.5,75.7
12.3,75.6
12.3,76.0
12.2,75.8
12.2,75.3
12.1,75.4
11.9,75.0
11.6,75.0
11.6,75.0
11.4,74.8
14.8,68.4
14.7,68.1
14.7,67.8
14.6,67.3
14.3,66.3
13.8,66.9
13.4,67.4
13.0,65.9
12.7,65.0
11.8,64.5
11.2,64.0
10.5,64.0
10.1,63.8
9.4,63.2
8.9,62.8
15.1,75.9
15.1,75.8
15.1,75.6
15.1,75.4
15.0,75.3
14.6,75.0
14.2,74.6
13.6,74.2
13.2,73.8
12.1,74.1
12.1,73.9
11.6,73.6
11.2,73.3
10.7,72.8
10.5,72.3
10.3,71.8
10.0,71.4
10.0,71.0
9.8,77.0
9.6,72.0
9.3,69.9
8.8,69.5
8.5,69.0
8.0,68.6
9.1,56.7
9.1,55.3
9.2,54.8
9.5,54.3
9.3,54.0
9.2,53.8
8.8,53.2
8.2,52.1
7.9,51.2
7.3,58.0
7.0,54.0
6.7,51.0
6.2,49.8
5.8,49.5
9.1,66.4
9.1,66.2
9.1,65.9
9.1,65.6
8.8,65.4
8.5,65.2
8.2,59.2
8.1,64.5
8.0,64.2
7.9,63.9
7.8,63.5
7.7,63.2
11.7,65.9
11.6,66.1
11.5,65.8
11.5,64.3
11.4,63.0
12.4,69.6
12.3,69.3
12.3,68.9
12.0,68.4
11.1,68.0
10.5,67.5
10.1,67.0
10.0,66.6
9.6,66.0
9.4,65.4
9.3,64.7
9.2,64.3
18.1,81.7
18.1,81.4
18.1,81.1
17.2,81.1
11.6,74.5
11.5,73.9
11.5,73.9
11.5,74.5
11.4,73.2
11.3,73.2
11.1,72.5
11.0,72.5
11.0,73.0
11.0,71.2
11.0,71.0
11.0,76.0
10.7,75.0
10.4,73.0
10.1,73.0
5.3,61.4
5.3,69.0
5.1,63.0
4.8,59.4
4.5,58.2
4.2,57.1
10.0,53.6
9.8,53.2
9.7,52.7
9.6,52.3
9.5,52.0
9.3,51.6
9.2,59.0
9.1,55.0
9.0,49.8
8.9,49.2
7.8,66.2
7.7,66.0
7.6,65.7
7.5,65.5
7.5,65.1
7.3,64.8
7.3,64.6
6.7,64.4
6.5,64.2
6.1,62.9
5.6,63.7
5.6,63.5
13.0,77.6
12.9,77.5
12.8,77.2
12.9,77.3
12.8,76.5
12.8,76.8
12.8,76.5
12.9,76.4
12.9,76.2
12.9,75.8
12.8,75.8
12.8,75.5
12.6,75.7
12.4,75.5
10.0,62.7
10.0,62.4
9.9,62.2
9.9,62.0
9.6,61.8
9.2,61.6
8.9,61.4
8.6,61.1
8.2,68.0
7.9,64.0
7.6,59.9
7.2,59.6
6.9,59.3
6.6,59.1
6.2,58.9
12.3,73.9
12.3,73.8
12.3,73.6
12.3,73.4
12.4,73.2
12.1,73.0
11.9,72.7
12.0,72.5
12.1,72.3
12.3,72.1
12.1,71.9
12.7,71.7
13.4,75.3
13.4,75.3
13.4,74.9
